,ID,Customer ID
0,Age,Customer's age in completed years
1,Experience,#years of professional experience
2,Income,Annual income of the customer ($000)
3,ZIPCode,Home Address ZIP code.
4,Family,Family size of the customer
5,CCAvg,Avg. spending on credit cards per month ($000)
6,Education,Education Level. 1: Undergrad; 2: Graduate; 3: Advanced/Professional
7,Mortgage,Value of house mortgage if any. ($000)
8,Personal Loan,Did this customer accept the personal loan offered in the last campaign?
9,Securities Account,Does the customer have a securities account with the bank?
10,CD Account,Does the customer have a certificate of deposit (CD) account with the bank?
11,Online,Does the customer use internet banking facilities?
12,CreditCard,Does the customer use a credit card issued by UniversalBank?
